"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 07:28:36 GMT 2021","Thu Aug 12 07:28:36 GMT 2021","108","","com.graphql.example.tests.client.FirstGraphQLTestClient","","com.graphql.example.tests.client.FirstGraphQLTestClient","testCanGetCeoWithQuery","testCanGetCeoWithQuery()",""
"passed","Thu Aug 12 07:28:36 GMT 2021","Thu Aug 12 07:28:36 GMT 2021","103","","com.graphql.example.tests.clean.FirstGraphQLTestClient","","com.graphql.example.tests.clean.FirstGraphQLTestClient","testCanGetCeoWithQueryGql","testCanGetCeoWithQueryGql()",""
"passed","Thu Aug 12 07:28:35 GMT 2021","Thu Aug 12 07:28:35 GMT 2021","150","","com.graphql.example.tests.advanced.FirstGraphQLTestClient","","com.graphql.example.tests.advanced.FirstGraphQLTestClient","testCanGetCeoWithQueryGql","testCanGetCeoWithQueryGql()",""
"passed","Thu Aug 12 07:28:35 GMT 2021","Thu Aug 12 07:28:35 GMT 2021","213","","com.graphql.example.tests.advanced.FirstGraphQLTestClient","","com.graphql.example.tests.advanced.FirstGraphQLTestClient","testCanGetUsersList","testCanGetUsersList()",""
"passed","Thu Aug 12 07:28:36 GMT 2021","Thu Aug 12 07:28:36 GMT 2021","124","","com.graphql.example.tests.simple.FirstGraphQLTest","","com.graphql.example.tests.simple.FirstGraphQLTest","testCanGetCeo","testCanGetCeo()",""
"passed","Thu Aug 12 07:28:36 GMT 2021","Thu Aug 12 07:28:36 GMT 2021","99","","com.graphql.example.tests.clean.FirstGraphQLTestClient","","com.graphql.example.tests.clean.FirstGraphQLTestClient","testCanGetUsersList","testCanGetUsersList()",""
"failed","Thu Aug 12 07:28:35 GMT 2021","Thu Aug 12 07:28:35 GMT 2021","155","","com.graphql.example.tests.advanced.FirstGraphQLTestClient","","com.graphql.example.tests.advanced.FirstGraphQLTestClient","testCanGetUseByName","testCanGetUseByName()",""
"failed","Thu Aug 12 07:28:35 GMT 2021","Thu Aug 12 07:28:36 GMT 2021","99","","com.graphql.example.tests.clean.FirstGraphQLTestClient","","com.graphql.example.tests.clean.FirstGraphQLTestClient","testCanGetUseByName","testCanGetUseByName()",""
"passed","Thu Aug 12 07:28:36 GMT 2021","Thu Aug 12 07:28:36 GMT 2021","104","","com.graphql.example.tests.client.FirstGraphQLTestClient","","com.graphql.example.tests.client.FirstGraphQLTestClient","testCanGetCeoWithClient","testCanGetCeoWithClient()",""
"passed","Thu Aug 12 07:28:32 GMT 2021","Thu Aug 12 07:28:35 GMT 2021","2400","","com.graphql.example.tests.advanced.FirstGraphQLTestClient","","com.graphql.example.tests.advanced.FirstGraphQLTestClient","testCanGetCeoWithQuery","testCanGetCeoWithQuery()",""
"failed","Thu Aug 12 07:28:35 GMT 2021","Thu Aug 12 07:28:35 GMT 2021","118","","com.graphql.example.tests.advanced.FirstGraphQLTestClient","","com.graphql.example.tests.advanced.FirstGraphQLTestClient","testCanGetUseById","testCanGetUseById()",""
"passed","Thu Aug 12 07:28:35 GMT 2021","Thu Aug 12 07:28:35 GMT 2021","152","","com.graphql.example.tests.clean.FirstGraphQLTestClient","","com.graphql.example.tests.clean.FirstGraphQLTestClient","testCanGetCeoWithQuery","testCanGetCeoWithQuery()",""
